Carpeta;Fichero;CuentaNIF;Ultimo acceso;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsPageAccountsSync.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsPageAccountsUsers.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsPageActivate.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsPageAppsDefaults.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsPageAppsDefaultsFileExtensionView.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsPageAppsDefaultsProtocolView.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsPageAppsNotifications.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsPageBatterySaver.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsPageBackground.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsPageColors.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsPageDataSenseOverview.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsPageEaseOfAccessClosedCaptioning.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsPageDevicesPen.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsPageDevicesPrinters.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsPageEaseOfAccessHighContrast.settingcontent-ms;0;09/12/2015 8:13:33;
c:\Users\Default\AppData\Local\Packages\windows.immersivecontrolpanel_cw5n1h2txyewy\LocalState\Indexed\Settings\es-ES\;AAA_SettingsPageEaseOfAccessMagnifier.settingcontent-ms;0;09/12/2015 8:13:33;
